Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
39,10,10,10,10,1,1,1,1,1,1,1,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,1,1,1,10,10,10,10,10,1,10,10,10,10,10,10,417
40,10,0,8,10,8,10,8,10,0,8,10,8,10,8,10,8,10,0,0,10,8,10,8,10,0,8,10,8,10,8,10,0,0,10,8,10,8,10,8,10,8,10,8,10,0,8,10,8,10,0,0,10,10,0,0,10,8,410
41,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,236
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,210
43,10,1,10,1,1,10,1,10,1,1,10,10,1,10,1,10,1,10,1,1,10,1,1,1,10,10,10,1,10,1,1,1,10,1,10,10,1,10,10,1,10,10,1,1,10,1,1,10,1,10,1,10,1,10,1,10,1,300
44,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,10,10,10,1,1,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,10,10,10,381
45,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,1,1,10,10,1,1,10,10,10,10,1,1,381
46,10,1,10,1,10,1,10,1,10,1,0,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,1,10,1,10,1,10,1,10,10,1,10,1,10,1,1,1,10,1,10,1,10,1,10,1,10,1,10,1,299
47,10,10,1,10,1,1,10,1,10,1,10,1,10,10,1,10,10,1,10,1,10,1,10,1,10,1,10,1,1,1,10,1,1,1,10,1,10,1,1,10,1,10,1,10,1,1,10,1,10,1,10,1,10,1,10,1,0,290
48,10,10,1,10,10,1,1,10,0,10,10,1,10,10,1,1,1,10,10,10,1,10,10,1,10,10,10,1,10,10,10,1,10,10,1,10,1,10,10,1,10,10,10,1,10,1,1,1,10,10,1,10,10,10,1,10,1,371
