tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
21,4,47,0,37,37,0,39,1,4.6,10,1,0,0
21,5,34,0,29,29,0,29,0,3.9,9,2,0,0
22,8,75,0,112,75,37,75,0,4.8,13,5,0,0
22,4,47,0,39,39,0,39,1,4.6,10,1,0,0
22,2,23,0,18,18,0,20,0,3.8,4,0,0,0
22,5,34,0,25,25,0,29,0,3.9,9,2,0,0
22,3,50,0,18,18,0,30,0,3.5,5,1,0,0
22,6,71,0,198,71,127,71,0,4.9,8,0,0,0
22,7,74,0,46,46,0,51,0,5,10,3,0,0
22,9,11,0,3,3,0,3,0,2.8,15,6,0,0
22,1,28,0,28,28,0,25,0,3.7,3,0,0,0
22,10,69,0,57,57,0,69,0,5,17,1,0,0
23,9,11,0,3,3,0,3,0,2.8,15,6,0,0
23,5,34,0,25,25,0,29,0,3.9,9,2,0,0
23,2,23,0,16,16,0,20,0,3.8,4,0,0,0
23,8,75,0,115,75,40,75,0,4.8,13,5,0,0
23,4,47,0,40,40,0,39,1,4.6,10,1,0,0
23,7,74,0,43,43,0,51,0,5,10,3,0,0
23,6,71,0,199,71,128,71,0,4.9,8,0,0,0
23,1,28,0,24,24,0,25,0,3.7,3,0,0,0
23,10,69,0,57,57,0,69,0,5,17,1,0,0
23,3,50,0,16,16,0,30,0,3.5,5,1,0,0
24,9,11,0,3,3,0,3,0,2.8,15,6,0,0
24,6,71,0,195,71,124,71,0,4.9,8,0,0,0
24,2,23,0,18,18,0,20,0,3.8,4,0,0,0
24,1,28,0,25,25,0,25,0,3.7,3,0,0,0
24,8,75,0,101,75,26,75,0,4.8,13,5,0,0
24,5,34,0,21,21,0,29,0,3.9,9,2,0,0
24,3,50,0,16,16,0,30,0,3.5,5,1,0,0
24,10,69,0,62,62,0,69,0,5,17,1,0,0
24,7,74,0,41,41,0,51,0,5,10,3,0,0
24,4,47,0,43,43,0,39,1,4.6,10,1,0,0
25,7,74,0,54,54,0,51,0,5,10,3,0,0
25,2,23,0,22,22,0,20,0,3.8,4,0,0,0
25,3,50,0,19,19,0,30,0,3.5,5,1,0,0
25,6,75,0,186,71,115,71,0,4.9,8,0,0,0
25,10,69,0,61,61,0,69,0,5,17,1,0,0
25,5,34,0,33,33,0,29,0,3.9,9,2,0,0
25,9,11,0,3,3,0,3,0,2.8,15,6,0,0
25,4,47,0,47,47,0,39,1,4.6,10,1,0,0
25,8,75,0,109,75,34,75,0,4.8,13,5,0,0
25,1,28,0,26,26,0,25,0,3.7,3,0,0,0
26,5,34,0,33,33,0,29,0,3.9,9,2,0,0
26,4,47,0,45,45,0,39,1,4.6,10,1,0,0
26,8,75,0,112,75,37,75,0,4.8,13,5,0,0
26,6,75,0,197,75,122,71,0,4.9,8,0,0,0
26,2,23,0,16,16,0,20,0,3.8,4,0,0,0
26,10,69,0,62,62,0,69,0,5,17,1,0,0
26,9,11,0,3,3,0,3,0,2.8,15,6,0,0
26,3,50,0,16,16,0,30,0,3.5,5,1,0,0
26,1,28,0,22,22,0,25,0,3.7,3,0,0,0
26,7,74,0,48,48,0,51,0,5,10,3,0,0
27,6,75,0,193,75,118,71,0,4.9,8,0,0,0
27,1,28,0,28,28,0,25,0,3.7,3,0,0,0
27,3,50,0,19,19,0,30,0,3.5,5,1,0,0
27,2,23,0,20,20,0,20,0,3.8,4,0,0,0
27,5,34,0,32,32,0,29,0,3.9,9,2,0,0
27,10,69,0,61,61,0,69,0,5,17,1,0,0
27,8,75,0,107,75,32,75,0,4.8,13,5,0,0
27,4,47,0,42,42,0,39,1,4.6,10,1,0,0
27,9,11,0,3,3,0,3,0,2.8,15,6,0,0
27,7,74,0,44,44,0,51,0,5,10,3,0,0
28,10,69,0,66,66,0,69,0,5,17,1,0,0
28,5,34,0,24,24,0,29,0,3.9,9,2,0,0
28,4,47,0,47,47,0,39,1,4.6,10,1,0,0
28,9,11,0,3,3,0,3,0,2.8,15,6,0,0
28,6,75,0,199,75,124,71,0,4.9,8,0,0,0
28,3,50,0,19,19,0,30,0,3.5,5,1,0,0
28,1,28,0,23,23,0,25,0,3.7,3,0,0,0
28,2,23,0,16,16,0,20,0,3.8,4,0,0,0
28,8,75,0,110,75,35,75,0,4.8,13,5,0,0
28,7,74,0,51,51,0,51,0,5,10,3,0,0
29,1,26,0,25,25,0,25,0,3.7,3,0,0,0
29,7,74,0,48,48,0,51,0,5,10,3,0,0
29,3,50,0,18,18,0,30,0,3.5,5,1,0,0
29,5,28,0,22,22,0,22,0,3.9,9,2,0,0
29,8,75,0,107,75,32,75,0,4.8,13,5,0,0
29,10,69,0,59,59,0,69,0,5,17,1,0,0
29,2,20,0,17,17,0,17,0,3.8,4,0,0,0
29,4,47,0,39,39,0,39,1,4.6,10,1,0,0
29,6,75,0,210,75,135,71,0,4.9,8,0,0,0
29,9,11,0,3,3,0,3,0,2.8,15,6,0,0
30,3,50,0,21,21,0,30,0,3.5,5,1,0,0
30,6,75,0,191,75,116,71,0,4.9,8,0,0,0
30,8,75,0,113,75,38,75,0,4.8,13,5,0,0
30,1,26,0,29,26,3,25,0,3.7,3,0,0,0
30,7,74,0,53,53,0,51,0,5,10,3,0,0
30,10,69,0,53,53,0,69,0,5,17,1,0,0
30,4,47,0,41,41,0,39,1,4.6,10,1,0,0
30,9,11,0,2,2,0,3,0,2.8,15,6,0,0
30,5,28,0,30,28,2,22,0,3.9,9,2,0,0
30,2,20,0,17,17,0,17,0,3.8,4,0,0,0
31,9,11,0,2,2,0,3,0,2.8,15,6,0,0
31,2,20,0,15,15,0,17,0,3.8,4,0,0,0
31,6,75,0,196,75,121,71,0,4.9,8,0,0,0
31,1,26,0,25,25,0,25,0,3.7,3,0,0,0
31,5,28,0,28,28,0,22,0,3.9,9,2,0,0
31,10,69,0,51,51,0,69,0,5,17,1,0,0
31,3,50,0,13,13,0,30,0,3.5,5,1,0,0
31,4,47,0,46,46,0,39,1,4.6,10,1,0,0
31,8,75,0,120,75,45,75,0,4.8,13,5,0,0
31,7,74,0,49,49,0,51,0,5,10,3,0,0
32,10,69,0,53,53,0,69,0,5,17,1,0,0
32,9,11,0,2,2,0,3,0,2.8,15,6,0,0
32,4,47,0,35,35,0,39,1,4.6,10,1,0,0
32,6,75,0,200,75,125,71,0,4.9,8,0,0,0
32,2,20,0,13,13,0,17,0,3.8,4,0,0,0
32,5,28,0,35,28,7,22,0,3.9,9,2,0,0
32,1,26,0,27,26,1,25,0,3.7,3,0,0,0
32,7,74,0,49,49,0,51,0,5,10,3,0,0
32,3,50,0,14,14,0,30,0,3.5,5,1,0,0
32,8,75,0,113,75,38,75,0,4.8,13,5,0,0
33,9,11,0,2,2,0,3,0,2.8,15,6,0,0
33,2,20,0,17,17,0,17,0,3.8,4,0,0,0
33,8,75,0,105,75,30,75,0,4.8,13,5,0,0
33,6,75,0,192,75,117,71,0,4.9,8,0,0,0
33,3,50,0,19,19,0,30,0,3.5,5,1,0,0
33,1,26,0,21,21,0,25,0,3.7,3,0,0,0
33,10,69,0,65,65,0,69,0,5,17,1,0,0
33,5,28,0,37,28,9,22,0,3.9,9,2,0,0
33,4,47,0,39,39,0,39,1,4.6,10,1,0,0
33,7,74,0,53,53,0,51,0,5,10,3,0,0
